nohup: ignoring input
Using backend: pytorch
cuda:0 pretrained/GGCN_wisconsin_04_14_02_15.pt
Epoch:0238 train loss:0.010 acc:100.00 | val loss:0.391 acc:86.25
Epoch:0239 train loss:0.010 acc:100.00 | val loss:0.388 acc:86.25
Epoch:0240 train loss:0.010 acc:100.00 | val loss:0.372 acc:87.50
Epoch:0241 train loss:0.010 acc:100.00 | val loss:0.393 acc:86.25
Epoch:0242 train loss:0.010 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0243 train loss:0.010 acc:100.00 | val loss:0.374 acc:87.50
Epoch:0244 train loss:0.010 acc:100.00 | val loss:0.392 acc:86.25
Epoch:0245 train loss:0.010 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0246 train loss:0.010 acc:100.00 | val loss:0.378 acc:87.50
Epoch:0247 train loss:0.010 acc:100.00 | val loss:0.389 acc:86.25
Epoch:0248 train loss:0.010 acc:100.00 | val loss:0.381 acc:87.50
Epoch:0249 train loss:0.010 acc:100.00 | val loss:0.381 acc:86.25
Epoch:0250 train loss:0.010 acc:100.00 | val loss:0.388 acc:87.50
Epoch:0251 train loss:0.010 acc:100.00 | val loss:0.380 acc:87.50
Epoch:0252 train loss:0.010 acc:100.00 | val loss:0.382 acc:86.25
Epoch:0253 train loss:0.010 acc:100.00 | val loss:0.387 acc:87.50
Epoch:0254 train loss:0.010 acc:100.00 | val loss:0.381 acc:87.50
Epoch:0255 train loss:0.010 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0256 train loss:0.010 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0257 train loss:0.010 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0258 train loss:0.010 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0259 train loss:0.009 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0260 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0261 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0262 train loss:0.009 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0263 train loss:0.009 acc:100.00 | val loss:0.380 acc:87.50
Epoch:0264 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0265 train loss:0.009 acc:100.00 | val loss:0.385 acc:86.25
Epoch:0266 train loss:0.009 acc:100.00 | val loss:0.380 acc:87.50
Epoch:0267 train loss:0.009 acc:100.00 | val loss:0.385 acc:87.50
Epoch:0268 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0269 train loss:0.009 acc:100.00 | val loss:0.380 acc:87.50
Epoch:0270 train loss:0.009 acc:100.00 | val loss:0.386 acc:86.25
Epoch:0271 train loss:0.009 acc:100.00 | val loss:0.381 acc:87.50
Epoch:0272 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0273 train loss:0.009 acc:100.00 | val loss:0.385 acc:86.25
Epoch:0274 train loss:0.009 acc:100.00 | val loss:0.380 acc:87.50
Epoch:0275 train loss:0.009 acc:100.00 | val loss:0.384 acc:86.25
Epoch:0276 train loss:0.009 acc:100.00 | val loss:0.384 acc:87.50
Epoch:0277 train loss:0.009 acc:100.00 | val loss:0.381 acc:87.50
Epoch:0278 train loss:0.009 acc:100.00 | val loss:0.384 acc:86.25
Epoch:0279 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0280 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0281 train loss:0.009 acc:100.00 | val loss:0.384 acc:87.50
Epoch:0282 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0283 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0284 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0285 train loss:0.009 acc:100.00 | val loss:0.382 acc:87.50
Epoch:0286 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
Epoch:0287 train loss:0.009 acc:100.00 | val loss:0.383 acc:87.50
